,Close,High,Low,Open,Date,Volume
114,98.965,98.965,98.965,98.965,2021-09-28,12
115,98.9849,98.9849,98.9849,98.9849,2021-09-29,33
116,99.02,99.02,99.02,99.02,2021-09-30,76
117,99.18,99.18,99.18,99.18,2021-10-01,18
118,99.15,99.15,99.15,99.15,2021-10-04,6
119,99.065,99.065,99.065,99.065,2021-10-05,16
120,99.06,99.06,99.06,99.06,2021-10-06,5
121,98.915,98.915,98.9097,98.9097,2021-10-07,252
122,98.86,98.86,98.86,98.86,2021-10-08,6
123,98.7244,98.765,98.7244,98.765,2021-10-11,125
124,98.825,98.825,98.825,98.825,2021-10-12,26
125,98.837,98.837,98.837,98.837,2021-10-13,51
126,98.94,98.94,98.94,98.94,2021-10-14,6
127,98.775,98.775,98.775,98.775,2021-10-15,4
128,98.67,98.67,98.67,98.67,2021-10-18,2
129,98.595,98.595,98.58,98.58,2021-10-19,254
130,98.6745,98.69,98.57,98.57,2021-10-20,845
131,98.475,98.475,98.475,98.475,2021-10-21,100
132,98.5118,98.5118,98.4,98.4,2021-10-22,205
133,98.57,98.57,98.57,98.57,2021-10-25,48
134,98.63,98.63,98.63,98.63,2021-10-26,50716
135,98.77,98.77,98.77,98.77,2021-10-27,8
136,98.65,98.65,98.64,98.64,2021-10-28,307
137,98.6806,98.6806,98.6806,98.6806,2021-10-29,7
138,98.6172,98.68,98.53,98.67,2021-11-01,1840
139,98.75,98.75,98.75,98.75,2021-11-02,157
140,98.695,98.77,98.695,98.7,2021-11-03,610
141,98.9101,98.9101,98.9101,98.9101,2021-11-04,41
142,99.11,99.11,99.01,99.045,2021-11-05,924
143,98.925,98.9799,98.88,98.95,2021-11-08,2454
144,99.064,99.064,99.064,99.064,2021-11-09,4
145,98.7,98.7,98.7,98.7,2021-11-10,9
146,98.585,98.585,98.585,98.585,2021-11-11,12
147,98.6343,98.73,98.55,98.73,2021-11-12,1549
148,98.5071,98.5071,98.5071,98.5071,2021-11-15,3
149,98.45,98.5001,98.45,98.5001,2021-11-16,466
150,98.53,98.53,98.53,98.53,2021-11-17,42
151,98.58,98.64,98.58,98.64,2021-11-18,1041
152,98.605,98.605,98.605,98.605,2021-11-19,338
153,98.27,98.27,98.27,98.27,2021-11-22,26
154,98.1725,98.1725,98.1725,98.1725,2021-11-23,4
155,98.185,98.185,98.185,98.185,2021-11-24,12
156,98.548,98.5999,98.548,98.5999,2021-11-26,174
157,98.565,98.59,98.55,98.55,2021-11-29,2489
158,98.6405,98.89,98.6405,98.89,2021-11-30,354054
159,98.6127,98.6127,98.6127,98.6127,2021-12-01,13
160,98.5825,98.5825,98.5825,98.5825,2021-12-02,5
